年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,2.菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品,區域
2014,屏東縣,"282,596",2.84,2.36,1.35,1.48,"832,681","547,989","81,329","11,237","14,018","104,102","15,957","86,633","49,908","19,922","28,622","22,631","94,602","34,314","9,582","8,800","3,806","6,434",南部
2014,台東縣,"81,951",2.58,2.02,1.17,1.41,"820,549","494,037","72,627","14,050","15,363","117,187","10,317","95,956","47,158","20,329","15,496","13,431","44,929","24,152","4,688","6,300","2,156","2,352",東部
2014,花蓮縣,"123,835",2.64,2.17,1.08,1.46,"860,613","547,353","83,938","11,383","13,714","125,630","10,975","104,945","61,096","20,856","26,670","14,309","49,699","28,585","13,316","7,063","2,685","4,068",東部
2014,澎湖縣,"37,401",2.63,2.2,1.04,1.46,"932,694","543,641","87,624","9,719","19,323","116,664","10,323","108,508","43,667","19,261","23,216","15,123","45,899","26,107","9,554","6,506","1,899","2,295",離島
2014,基隆市,"150,053",2.8,2.42,1.16,1.61,"957,360","692,416","123,901","10,739","29,460","142,798","22,340","114,442","57,457","23,812","39,711","20,552","76,950","44,916","17,056","11,992","5,209","9,516",北部
2014,新竹市,"153,558",3.36,2.57,1.46,1.83,"1,576,797","1,036,179","133,084","11,780","28,295","235,067","27,407","138,194","128,121","30,392","62,736","46,699","100,647","46,171","31,114","15,689","5,149","10,784",北部
2014,嘉義市,"97,872",2.97,2.42,1.26,1.65,"1,157,962","726,313","110,628","8,751","26,770","148,531","19,788","114,438","72,767","23,804","38,429","28,628","98,262","40,703","18,549","8,734","4,679","6,450",南部
2015,新北市,"1,503,844",3.14,2.58,1.44,1.76,"1,171,978","765,476","101,942","8,453","25,691","214,877","18,526","98,843","59,977","30,702","46,133","31,166","89,277","39,888","21,542","12,362","4,986","7,243",北部
2015,台北市,"1,041,379",3.08,2.6,1.31,1.76,"1,581,899","1,005,898","149,078","6,646","28,686","299,256","28,927","128,925","70,985","30,687","76,286","34,710","89,975","61,738","46,482","15,479","5,626","8,700",北部
2015,桃園市,"742,046",3.45,2.69,1.6,1.87,"1,307,158","821,563","123,567","10,852","25,614","210,771","19,116","99,232","82,616","30,698","44,621","36,536","91,727","46,214","21,820","11,488","4,772","6,540",北部
2015,台中市,"920,195",3.11,2.54,1.46,1.7,"1,169,183","777,046","106,858","9,899","25,044","186,909","17,039","115,855","74,441","26,563","48,557","32,376","92,807","40,700","24,193","12,182","5,456","6,726",中部
2015,台南市,"670,228",3.11,2.52,1.52,1.75,"1,007,093","675,861","109,245","8,460","16,072","144,971","15,084","117,910","67,990","23,740","27,954","28,348","79,185","36,904","11,267","8,172","4,104","4,412",南部
2015,高雄市,"1,069,177",2.96,2.46,1.4,1.71,"1,145,895","752,712","106,387","8,777","18,473","166,022","19,060","128,983","72,254","25,872","34,893","30,303","103,955","37,732","16,479","9,466","4,112","4,836",南部
2015,宜蘭縣,"163,974",3.23,2.56,1.46,1.79,"1,160,320","839,843","127,207","13,523","25,098","159,165","22,322","157,110","92,559","27,850","43,215","31,806","86,642","53,345","20,250","9,276","5,724","7,964",北部
2015,新竹縣,"181,120",3.31,2.51,1.49,1.73,"1,283,995","841,800","107,898","9,511","23,625","196,071","19,756","108,419","121,798","26,997","44,386","36,514","95,409","51,417","21,928","11,088","5,085","6,286",北部
