年份,地區,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,酒精飲料,菸草,衣著及鞋類,住屋及水電瓦斯等費用,家具設備及家務服務,醫療保健,交通及通訊,休閒與文化,教育,餐廳及旅館,什項消費
2022,新竹市,174515,2.99,2.44,1.26,1.79,1722889,1058293.991683,145000.5657,9158.686603,26683.64614,290277.3051,25584.80543,165671.9767,93704.64505,27593.98966,31693.82017,47856.20781,145187.57,49880.77332
2022,嘉義市,101826,2.63,2.28,1.14,1.6,1282798,731350.565649,105733.1616,7933.832409,16547.85748,160621.2681,21169.76785,141823.4563,61951.20178,21111.10344,19269.08285,22615.86542,115264.0293,37309.93912
2023,新北市,1655751,2.72,2.44,1.33,1.87,1440893,856018.0,107691.0,7775.0,25490.0,235873.0,27757.0,148485.0,61106.0,25216.0,39231.0,25756.0,115510.0,36128.0
2023,台北市,1059757,2.68,2.46,1.27,1.95,1751823,1093879.0,154135.0,6625.0,27047.0,310442.0,41694.0,167120.0,65873.0,23970.0,60310.0,26215.0,160317.0,50131.0
2023,桃園市,891027,3.03,2.6,1.44,1.9,1490814,917541.0,137466.0,10401.0,26248.0,213208.0,21501.0,146845.0,95089.0,27819.0,33038.0,30546.0,127197.0,48183.0
2023,台中市,1047164,2.83,2.46,1.38,1.79,1346521,915475.0,119810.0,8457.0,26302.0,224707.0,22555.0,155683.0,92511.0,24942.0,37447.0,29832.0,124671.0,48558.0
2023,台南市,721550,2.81,2.48,1.39,1.75,1177168,764143.0,115001.0,8661.0,17540.0,163894.0,17524.0,146000.0,72430.0,23161.0,23807.0,23219.0,117777.0,35129.0
2023,高雄市,1144005,2.78,2.45,1.35,1.78,1325786,880663.0,126337.0,7820.0,20980.0,197966.0,23942.0,162510.0,81764.0,24252.0,31894.0,25723.0,135401.0,42074.0
2023,宜蘭縣,177238,2.64,2.3,1.01,1.58,1114997,754252.0,136705.0,11407.0,19187.0,160647.0,27522.0,154115.0,67834.0,19722.0,20851.0,15153.0,78229.0,42880.0
2023,新竹縣,218361,3.01,2.44,1.38,1.74,1846263,1068365.0,117126.0,8943.0,31373.0,277612.0,31057.0,141170.0,143793.0,28074.0,44213.0,55899.0,129026.0,60079.0
2023,苗栗縣,198022,3.02,2.64,1.41,1.85,1341195,761672.0,126840.0,12220.0,22842.0,140820.0,22559.0,142156.0,87375.0,28270.0,30897.0,17490.0,88768.0,41435.0
2023,彰化縣,404247,2.94,2.58,1.43,1.77,1164937,680612.0,112778.0,7054.0,18013.0,131194.0,18629.0,138649.0,80300.0,20989.0,21975.0,24066.0,76615.0,30350.0
2023,南投縣,180196,2.78,2.52,1.49,1.76,1069123,622161.0,108576.0,11017.0,14666.0,115227.0,17478.0,145227.0,58351.0,20068.0,17558.0,10843.0,68944.0,34206.0
2023,雲林縣,246207,2.61,2.33,1.35,1.64,1087755,637551.0,88163.0,9146.0,15438.0,111840.0,18194.0,165202.0,58562.0,21421.0,20156.0,14201.0,71724.0,43504.0
2023,嘉義縣,185790,2.55,2.3,1.16,1.56,936713,593939.0,117578.0,13148.0,11776.0,94988.0,12509.0,137857.0,62498.0,18612.0,14468.0,10441.0,73830.0,26234.0
2023,屏東縣,296396,2.73,2.38,1.39,1.7,1081286,707405.0,116750.0,12281.0,16215.0,116570.0,14898.0,151331.0,52834.0,21431.0,18320.0,13077.0,133199.0,40499.0
2023,台東縣,84425,2.39,2.04,1.07,1.48,930467,614097.0,89622.0,15926.0,11668.0,150453.0,11240.0,126616.0,61313.0,19964.0,16720.0,9759.0,69358.0,31458.0
2023,花蓮縣,128496,2.36,2.09,1.05,1.51,1018629,608420.0,98390.0,9583.0,14276.0,142826.0,15205.0,135835.0,51963.0,20496.0,16764.0,8175.0,66812.0,28095.0
2023,澎湖縣,42807,2.42,2.13,0.93,1.53,1060432,608997.0,119624.0,6702.0,14043.0,132581.0,15032.0,148409.0,33643.0,19168.0,23015.0,12051.0,53336.0,31393.0
2023,基隆市,158167,2.67,2.37,1.19,1.72,1136337,776450.0,121072.0,11497.0,25829.0,160349.0,25932.0,160654.0,63763.0,22327.0,34427.0,17938.0,88421.0,44241.0
2023,新竹市,177461,2.89,2.44,1.36,1.86,1851383,1082394.0,159028.0,11378.0,25121.0,284008.0,25971.0,147900.0,93417.0,28045.0,52795.0,39014.0,148389.0,67328.0
2023,嘉義市,102932,2.86,2.5,1.29,1.77,1348030,878567.0,124137.0,8753.0,22203.0,178917.0,26803.0,156564.0,64666.0,26707.0,31347.0,28319.0,169736.0,40415.0
